load_date,ActiveConnectionCount,HTTPCode_ELB_4XX_Count,HTTPCode_ELB_5XX_Count,HTTPCode_Target_2XX_Count,HTTPCode_Target_4XX_Count,RequestCount,RequestCountPerTarget,TargetResponseTime,UnHealthyHostCount,i_0cec130025dfcd779_CPUUtilization,i_0e3640b16ef872228_CPUUtilization,cab_db_CPUUtilization,hits
24-04-2020 10.00,1,0,1,0,0,0,0,0,0,0,0,0,5
24-04-2020 10.10,1,0,1,0,0,0,0,0,0,0,0,0,2
24-04-2020 10.15,1,0,1,0,0,0,0,0,0,0,0,0,3
24-04-2020 11.00,1,0,1,0,0,0,0,0,0,0,0,0,153
24-04-2020 12.00,4,0,6,0,0,0,0,0,0,0,0,0,1816
24-04-2020 12.15,1,0,1,0,0,0,0,0,0,0,0,0,444
24-04-2020 12.55,2,10,10,0,0,0,0,0,0,0,0,0,877
24-04-2020 14.15,1,0,1,0,0,0,0,0,0,0,0,0,105
24-04-2020 14.25,1,0,1,0,0,0,0,0,0,0,0,0,10
24-04-2020 14.30,2,0,6,0,0,0,0,0,0,0,0,0,10
24-04-2020 14.45,1,0,1,0,0,0,0,0,0,0,0,0,14
24-04-2020 16.15,1,0,1,0,0,0,0,0,0,0,0,0,94
24-04-2020 16.40,2,0,6,0,0,0,0,0,0,0,0,0,12
24-04-2020 17.10,1,1,0,0,0,0,0,0,0,0,0,0,14
24-04-2020 17.25,1,1,0,0,0,0,0,0,0,0,0,0,9
24-04-2020 17.30,1,0,0,0,0,0,0,0,0,0,0,0,4
24-04-2020 19.00,1,1,0,0,0,0,0,0,0,0,0,0,86
24-04-2020 21.15,2,0,6,0,0,0,0,0,0,0,0,0,68
24-04-2020 22.25,1,0,1,0,0,0,0,0,0,0,0,0,89
24-04-2020 22.55,1,0,1,0,0,0,0,0,0,0,0,0,32
24-04-2020 23.45,2,0,6,0,0,0,0,0,0,0,0,0,23
24-04-2020 23.55,6,0,113,0,0,0,0,0,0,0,0,0,7
25-04-2020 0.45,2,0,2,0,0,0,0,0,0,0,0,0,373
25-04-2020 1.35,1,0,1,0,0,0,0,0,0,0,0,0,562
25-04-2020 1.40,2,10,10,0,0,0,0,0,0,0,0,0,33
25-04-2020 2.10,2,0,1,0,0,0,0,0,0,0,0,0,283
25-04-2020 2.40,1,1,0,0,0,0,0,0,0,0,0,0,301
25-04-2020 3.05,1,0,1,0,0,0,0,0,0,0,0,0,259
25-04-2020 3.20,1,0,1,0,0,0,0,0,0,0,0,0,130
25-04-2020 5.50,1,0,1,0,0,0,0,0,0,0,0,0,1848
25-04-2020 6.00,2,0,1,0,0,0,0,0,0,0,0,0,111
25-04-2020 6.25,1,0,1,0,0,0,0,0,0,0,0,0,257
25-04-2020 6.35,1,0,1,0,0,0,0,0,0,0,0,0,90
25-04-2020 7.45,1,0,0,0,0,0,0,0,0,0,0,0,710
25-04-2020 8.35,1,0,1,0,0,0,0,0,0,0,0,0,627
25-04-2020 9.00,1,0,1,0,0,0,0,0,0,0,0,0,262
25-04-2020 9.25,1,0,1,0,0,0,0,0,0,0,0,0,222
25-04-2020 9.40,1,0,1,0,0,0,0,0,0,0,0,0,140
25-04-2020 11.25,2,0,9,0,0,0,0,0,0,0,0,0,1219
25-04-2020 11.30,2,0,4,0,0,0,0,0,0,0,0,0,35
25-04-2020 11.55,1,0,0,0,0,0,0,0,0,0,0,0,256
25-04-2020 12.05,2,0,9,0,0,0,0,0,0,0,0,0,122
25-04-2020 12.50,2,10,10,0,0,0,0,0,0,0,0,0,349
25-04-2020 13.30,2,0,9,0,0,0,0,0,0,0,0,0,26
25-04-2020 16.25,2,0,9,0,0,0,0,0,0,0,0,0,1870
25-04-2020 16.30,1,0,1,0,0,0,0,0,0,0,0,0,38
25-04-2020 16.50,2,0,9,0,0,0,0,0,0,0,0,0,196
25-04-2020 22.25,1,0,1,0,0,0,0,0,0,0,0,0,2776
26-04-2020 0.50,2,10,10,0,0,0,0,0,0,0,0,0,50
26-04-2020 1.40,1,0,1,0,0,0,0,0,0,0,0,0,15
26-04-2020 1.45,1,0,1,0,0,0,0,0,0,0,0,0,4
26-04-2020 2.40,2,0,9,0,0,0,0,0,0,0,0,0,28
26-04-2020 2.50,1,0,1,0,0,0,0,0,0,0,0,0,4
26-04-2020 5.55,1,0,1,0,0,0,0,0,0,0,0,0,78
26-04-2020 6.25,7,0,9,0,0,0,0,0,0,0,0,0,50
26-04-2020 7.00,1,1,0,0,0,0,0,0,0,0,0,0,9
26-04-2020 8.35,0,0,0,0,0,0,0,0,2,0.388950634,0.336158192,0,57
26-04-2020 8.45,3,1,0,0,0,0,0,0,0,0,0,0,4
26-04-2020 8.55,2,1,1,0,0,0,0,0,0,0,0,0,9
